INVYR,PLT_CN,REMPER,SITECLCD,MBF_0,MBF_1,MBF_Annual,SITECLCD_Bin
2011,48202674010497,9.6,3,0.675125662036518,2.295288383309102,0.16876694662203404,0
2011,48202728010497,9.9,3,4.596270608444092,10.581641681849506,0.604582927224636,0
2011,48202735010497,9.9,2,12.046903834884173,24.914641948618474,1.29977152694377,0
2011,48202754010497,10,3,4.558669592242068,6.084092044822636,0.152542246461666,0
2011,48202781010497,10.3,2,0.338333174005512,0.7098766700679999,0.036072185778138,0
2011,48202782010497,9.9,3,16.67592288035474,25.801157584721683,0.921740878195582,0
2011,48202786010497,9.8,3,27.15775373469252,37.25925274179849,1.0307652017363,0
2011,48202791010497,9.9,4,9.224271490802149,13.229442628156788,0.404562739140918,1
2011,48203034010497,10.1,5,2.9935826799191805,4.133713566819456,0.112884244082704,1
2011,48203136010497,10.9,6,0.581512826118234,0.875213023549688,0.026944976492698003,1
2011,48203235010497,10.1,6,5.023633485165898,6.214435073650652,0.117901146004282,1
2011,48203414010497,10,5,3.7870903238173343,5.875540692783456,0.20884503870202598,1
2011,48203636010497,9.8,4,1.389467421334218,4.049171611276052,0.271398384149596,1
2011,48203700010497,10.3,3,15.393293739387834,23.872910585226375,0.823263776056418,0
2011,48203747010497,9.8,2,8.369187001636478,12.389846194212808,0.410271343233644,0
2011,48203783010497,10.2,4,3.318188913666394,7.093508384843132,0.37012935755926996,1
2011,48203792010497,10,2,0.5911617337933679,3.2561324241146306,0.26649707083754,0
2011,48203809010497,9.8,2,11.983061369820991,25.123479771683346,1.3408590138432501,0
2011,48203813010497,10.1,3,19.948529879917707,27.73628919875076,0.771065279151966,0
2011,48203832010497,10,2,8.540026015658727,18.315780198786467,0.977575418312774,0
2011,48203833010497,9.8,2,20.959398639232028,31.628337241795002,1.0886672054485163,0
2011,48203836010497,9.8,2,5.551192085567457,18.906270210321406,1.36276307641083,0
2011,48203856010497,10,5,14.81299980830644,21.458948248535904,0.66459484582836,1
2011,48203862010497,10.4,5,7.151644821537278,10.786845604126015,0.349538546971764,1
2011,48203866010497,10,5,1.9666348451216,3.1467762775535637,0.118014146854024,1
2011,48203897010497,9.9,4,10.435978423048601,15.144243038066708,0.47558228373738,1
2011,48203967010497,9.7,3,10.326799237130164,21.063249453240108,1.1068505448780899,0
2011,48204092010497,10,2,18.612761940412984,37.84932755028575,1.923656572421564,0
2011,48204640010497,9.9,3,5.8212873400903495,17.569742757303207,1.186712681292468,0
2011,48205028010497,9.9,5,2.578974401745406,3.3441893217311156,0.077294440799742,1
2011,48205108010497,9.7,2,0.23889399694255797,1.5168449135626298,0.13174751438545,0
2011,48205113010497,9.7,4,6.250994937804446,11.043095946634873,0.494031037049692,1
2011,48205536010497,10.1,5,4.076390511168532,5.274666278081492,0.11864116706676402,1
2011,48205539010497,10,5,5.055656302313969,7.990869135624894,0.293521280923874,1
2011,48205679010497,9.7,1,6.390361629418425,13.156840451805202,0.697575134095032,0
2011,48205775010497,10.3,2,35.57685768968807,50.74185934553694,1.4723302517729322,0
2011,48205777010497,9.4,2,6.851022565289842,18.772390953591607,1.2682306710276539,0
2011,48205860010497,9.7,2,1.589323569520068,5.933212578452723,0.447823601226976,0
2011,48205905010497,10.1,4,13.945257201906209,22.239079419102616,0.821170519116238,1
2011,48205941010497,9.8,3,10.388073158034226,17.524162401873692,0.72817237243444,0
2012,30762836020004,9.7,5,11.144509843185944,17.210329571768895,0.625342243100142,1
2012,30762837020004,9.8,2,5.697493293352638,12.388857543597885,0.682792267485574,0
2012,30762839020004,9.6,3,19.523562877579188,28.780538181596725,0.96426826083516,0
2012,30762843020004,9.6,3,15.902833672152516,30.20826729225894,1.490149354986402,0
2012,30762844020004,9.7,3,2.919984787766662,11.287042008941786,0.8625832091854659,0
2012,30762848020004,9.7,3,6.04059552809131,12.212055428335615,0.636232980585422,0
2012,30763312020004,9.7,2,0.25827587837739996,1.215512762590988,0.0986842192103,0
2012,30763390020004,9.8,4,0.599273909350218,1.9209526824079022,0.134865181169888,1
